Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,R,ER,TBF,SIERA,RS/9
1978,Dodgers,14,17,38,198,0,320,5.82,3.83,0.48,0.26,75.40%, , ,2.84,3.32, ,119,101,1330, , 
1980,Astros,26,17,41,246,0,394.2,6.73,3.12,0.36,0.288,76.00%, , ,2.85,2.89, ,137,125,1635, , 
1985,Cardinals,22,15,44,295,0,397.2,6.11,3.24,0.54,0.277,76.40%, , ,2.85,3.24, ,147,126,1669, , 
1979,Orioles,26,13,30,167,0,344,5.57,4.32,0.5,0.244,78.30%, , ,2.85,3.71, ,116,109,1417, , 
1991,White Sox,33,20,40,338,0,463.2,5.86,3.69,0.82,0.244,79.50%, , ,2.85,4.04, ,165,147,1912, , 
1980,Braves,20,15,37,289,0,400.2,4.34,3.35,0.52,0.254,76.40%, , ,2.88,3.72, ,146,128,1684, , 
2012,Rays,20,21,50,472,0,466,9.33,2.88,0.77,0.261,77.10%,46.40%,9.60%,2.88,3.19,3.39,162,149,1891,3.04,3.01
1974,Dodgers,29,21,23,209,0,393.1,5.9,2.93,0.71,0.256,76.10%, , ,2.88,3.31, ,146,126,1624, , 
2013,Pirates,30,20,55,465,0,545.2,7.46,2.89,0.59,0.272,78.30%,52.00%,8.20%,2.89,3.35,3.59,183,175,2252,3.32,3.38
1989,Angels,21,16,38,251,0,376.2,6.02,3.54,0.67,0.247,78.90%, , ,2.89,3.65, ,129,121,1564, , 
1992,Astros,39,21,45,422,0,535,6.59,3.35,0.5,0.269,75.90%, , ,2.89,3.27, ,196,172,2248, , 
1974,Athletics,16,12,28,216,0,362.2,5.58,3.67,0.52,0.276,77.70%, , ,2.9,3.39, ,132,117,1532, , 
1978,Angels,21,18,33,193,0,374.1,4.78,3.82,0.63,0.256,75.50%, , ,2.91,3.8, ,151,121,1593, , 
1985,Yankees,26,20,49,270,0,442.1,6.67,3.15,0.57,0.275,75.90%, , ,2.91,3.08, ,162,143,1834, , 
2006,Twins,26,10,40,421,0,498,8.13,2.48,0.7,0.3,78.40%,48.50%,8.40%,2.91,3.26,3.56,176,161,2066,3.31,4.57
2002,Giants,29,14,43,417,0,433,7.03,3.26,0.48,0.277,76.60%,42.30%,4.90%,2.91,3.31,4.14,153,140,1801,3.76,4.09
2013,Rangers,35,18,46,475,0,491.2,7.87,3.28,0.64,0.281,78.30%,43.00%,7.60%,2.91,3.44,3.79,173,159,2042,3.53,3.88
1981,Rangers,13,7,18,142,0,253.1,4.48,4.01,0.43,0.247,77.70%, , ,2.91,3.65, ,87,82,1064, , 
1975,Athletics,31,11,44,245,0,463.1,5.32,2.93,0.6,0.258,74.80%, , ,2.91,3.33, ,174,150,1890, , 
1978,Pirates,26,24,44,272,0,429,5.85,3.94,0.5,0.274,75.10%, , ,2.92,3.39, ,172,139,1849, , 
1978,Phillies,21,16,29,234,0,382.1,6.07,2.68,0.45,0.27,73.30%, , ,2.92,2.87, ,140,124,1542, , 
1989,Cubs,20,18,55,338,0,474.1,6.22,4,0.63,0.274,79.90%, , ,2.92,3.68, ,167,154,2016, , 
1986,Giants,29,19,35,346,0,476,7.43,4.08,0.55,0.267,75.80%, , ,2.93,3.34, ,178,155,1967, , 
1990,Reds,27,22,50,316,0,472.2,8.57,3.75,0.69,0.287,79.10%, , ,2.93,3.23, ,168,154,1977, , 
1981,Giants,17,17,33,211,0,346.2,5.22,3.84,0.34,0.281,75.40%, , ,2.93,3.28, ,132,113,1478, , 
2012,Athletics,30,14,47,462,0,512,8.24,3.67,0.79,0.25,78.80%,40.60%,8.00%,2.94,3.74,4.2,180,167,2113,3.75,3.81
2008,Blue Jays,15,23,44,421,0,425,7.54,3.75,0.7,0.268,79.80%,47.50%,8.20%,2.94,3.85,4.09,148,139,1779,3.81,3.39
1975,Mets,14,19,31,229,0,394,5.6,3.86,0.64,0.257,77.50%, , ,2.95,3.61, ,147,129,1671, , 
1980,Giants,22,21,35,288,0,451.2,5.48,3.57,0.48,0.276,76.00%, , ,2.95,3.47, ,171,148,1918, , 
1992,Cardinals,33,28,47,422,0,472.2,5.62,3.14,0.63,0.25,77.30%, , ,2.95,3.58, ,166,155,1949, , 
1989,Mets,18,25,38,274,0,402,6.69,3.49,0.43,0.268,73.60%, , ,2.96,3.11, ,153,132,1686, , 
1974,Yankees,19,11,24,182,0,349.2,6,4.12,0.41,0.28,74.90%, , ,2.96,3.29, ,139,115,1495, , 
1982,Pirates,31,19,39,280,0,493.2,6.16,3.63,0.58,0.265,75.30%, , ,2.97,3.48, ,193,163,2089, , 
2002,Angels,27,16,54,400,0,444.2,7,3.7,0.81,0.249,78.90%,46.10%,9.70%,2.98,3.92,4.04,160,147,1824,3.82,4.39
1980,Yankees,26,12,50,210,0,447.1,5.87,3,0.54,0.278,75.60%, , ,2.98,3.28, ,168,148,1868, , 
1986,Mets,30,21,46,252,0,392.2,5.36,3.71,0.41,0.276,75.30%, , ,2.98,3.51, ,152,130,1680, , 
1982,Dodgers,27,24,28,295,0,455.1,5.67,3.24,0.36,0.276,73.10%, , ,2.98,3.11, ,177,151,1920, , 
2010,Giants,31,15,57,476,0,461,8.65,3.92,0.57,0.293,78.60%,44.20%,6.00%,2.99,3.41,3.87,165,153,1967,3.51,4.16
1976,Royals,22,18,35,248,0,391.2,5.65,4,0.53,0.256,76.70%, , ,2.99,3.53, ,144,130,1649, , 
1977,Giants,22,23,33,312,0,479,5.86,3.81,0.56,0.282,74.30%, , ,2.99,3.56, ,200,159,2032, , 
1990,Pirates,28,18,43,364,0,475.2,6.22,3.25,0.74,0.27,76.60%, , ,2.99,3.65, ,185,158,1994, , 
2012,Orioles,32,11,55,492,0,545.1,7.49,2.87,0.79,0.28,78.50%,49.10%,9.60%,3,3.68,3.88,201,182,2271,3.56,3.53
1983,Astros,28,22,48,261,0,443,5.95,3.15,0.67,0.24,74.30%, , ,3.01,3.49, ,164,148,1784, , 
2004,Cardinals,31,16,57,469,0,457.1,6.97,2.83,0.71,0.257,75.70%,46.60%,8.10%,3.01,3.62,3.97,169,153,1866,3.73,5.04
1974,Braves,19,19,22,215,0,352.2,5.44,3.47,0.69,0.247,75.60%, , ,3.01,3.59, ,135,118,1455, , 
1988,Tigers,21,13,36,220,0,346.1,6.24,3.38,0.73,0.255,78.30%, , ,3.01,3.66, ,125,116,1451, , 
1977,Phillies,33,21,47,246,0,433.1,6.17,2.99,0.69,0.28,76.20%, , ,3.03,3.39, ,165,146,1780, , 
2011,Braves,26,25,52,510,0,522.1,9.24,3.6,0.62,0.28,77.90%,49.10%,8.30%,3.03,3.19,3.33,183,176,2177,3.04,3.19
1992,Orioles,23,14,48,289,0,430,5.48,4.12,0.38,0.271,75.80%, , ,3.03,3.57, ,161,145,1815, , 
1979,Rangers,21,20,42,217,0,414.2,6.73,3.75,0.59,0.257,73.80%, , ,3.04,3.38, ,163,140,1723, , 
2001,Mariners,33,15,56,391,0,470.2,8.28,3.21,0.9,0.24,77.80%, , ,3.04,3.76, ,172,159,1926, , 
1974,Brewers,22,16,24,189,0,411.1,4.38,3.54,0.63,0.262,78.20%, , ,3.04,3.8, ,151,139,1711, , 
2011,Giants,26,18,52,480,0,470.1,8.52,3.77,0.5,0.28,76.00%,51.10%,6.80%,3.04,3.22,3.52,171,159,1958,3.27,2.85
1992,Padres,25,22,46,363,0,466.2,7.06,3.11,0.52,0.287,75.60%, , ,3.05,3.06, ,174,158,1955, , 
1976,Athletics,32,27,29,233,0,469.1,4.56,2.7,0.48,0.266,73.80%, , ,3.05,3.31, ,181,159,1965, , 
1995,Indians,32,13,50,335,0,422,8.06,3.45,0.83,0.276,77.20%, , ,3.05,3.77, ,165,143,1763, , 
2011,Padres,19,25,44,490,0,483.2,7.8,3.91,0.6,0.274,76.80%,43.50%,6.60%,3.05,3.57,3.97,181,164,2031,3.68,3.29
2004,Dodgers,36,19,51,459,0,518,8.18,3.65,0.75,0.288,79.50%,44.50%,8.30%,3.06,3.66,4,190,176,2194,3.72,4
1984,Pirates,17,29,34,246,0,376.2,6.48,3.82,0.43,0.281,75.80%, , ,3.06,3.25, ,139,128,1571, , 
1986,Cardinals,17,24,46,287,0,406,5.28,3.48,0.73,0.266,77.20%, , ,3.06,3.86, ,158,138,1710, , 
1984,Braves,21,22,49,277,0,429.1,5.81,3.27,0.55,0.29,74.50%, , ,3.06,3.41, ,177,146,1838, , 
2007,Padres,30,25,45,485,0,549.2,6.98,3.16,0.61,0.278,73.90%,49.50%,7.00%,3.06,3.71,4.05,221,187,2305,3.83,3.85
1989,Royals,29,17,38,264,0,432,7.25,3.77,0.44,0.287,74.00%, , ,3.06,3.1, ,170,147,1811, , 
1982,Mets,19,31,37,278,0,480.1,5.64,3.19,0.62,0.283,75.90%, , ,3.07,3.47, ,189,164,2024, , 
1981,Mets,18,15,24,234,0,366,5.39,3.42,0.57,0.278,76.00%, , ,3.07,3.39, ,142,125,1551, , 
1989,Giants,24,21,47,318,0,502.1,5.18,3.64,0.77,0.245,75.20%, , ,3.08,4, ,203,172,2094, , 
1991,Dodgers,28,21,40,367,0,435,7.22,3.48,0.7,0.277,76.40%, , ,3.08,3.48, ,169,149,1828, , 
1979,Pirates,38,25,52,326,0,472.2,5.66,3.56,0.57,0.273,74.80%, , ,3.08,3.56, ,190,162,1995, , 
1981,Pirates,12,20,29,201,0,288.2,5.21,3.77,0.56,0.284,77.40%, , ,3.09,3.55, ,112,99,1249, , 
1992,Giants,26,27,30,386,0,536,7.39,3.11,0.64,0.279,76.10%, , ,3.09,3.18, ,200,184,2218, , 
1977,Astros,22,22,28,234,0,392.2,5.73,3.6,0.57,0.253,72.30%, , ,3.09,3.55, ,162,135,1644, , 
1986,Royals,19,22,31,230,0,439,5.56,3.38,0.68,0.267,77.40%, , ,3.1,3.76, ,166,151,1840, , 
1977,Pirates,34,16,39,278,0,468,6.56,3.65,0.77,0.246,75.70%, , ,3.1,3.64, ,181,161,1940, , 
1974,Royals,16,19,17,209,0,412.2,4.69,2.79,0.52,0.274,72.40%, , ,3.1,3.31, ,173,142,1746, , 
1990,Mets,18,15,41,268,0,389.1,6.54,2.82,0.67,0.283,75.00%, , ,3.1,3.32, ,154,134,1627, , 
1987,Reds,33,15,44,392,0,514,6.34,3.33,0.65,0.29,77.20%, , ,3.1,3.54, ,196,177,2148, , 
1982,Cardinals,28,21,47,318,0,441.1,5.26,3.85,0.53,0.263,75.10%, , ,3.1,3.65, ,174,152,1875, , 
2007,Red Sox,19,14,45,451,0,447,7.59,3.46,0.79,0.264,77.10%,43.00%,7.60%,3.1,4.01,4.32,172,154,1872,3.9,4.63
1980,Cubs,20,29,35,344,0,525.1,6.73,4.08,0.57,0.284,75.90%, , ,3.1,3.5, ,211,181,2248, , 
1974,Cardinals,28,8,20,293,0,417.1,5.65,4.16,0.32,0.264,72.80%, , ,3.11,3.23, ,166,144,1756, , 
1976,Orioles,17,15,23,171,0,370.2,4.88,3.93,0.36,0.257,75.10%, , ,3.11,3.44, ,135,128,1534, , 
2010,Braves,32,19,41,490,0,474.1,10.06,3.93,0.65,0.291,74.60%,49.70%,8.50%,3.11,3.18,3.28,190,164,1995,3,4.55
2002,Cardinals,33,21,42,472,0,529,6.53,3.4,0.82,0.26,77.30%,44.30%,9.00%,3.11,3.92,4.13,203,183,2188,3.91,4.49
1983,Padres,25,26,44,294,0,473.1,5.69,3.35,0.67,0.263,75.30%, , ,3.12,3.61, ,186,164,1983, , 
2011,Yankees,26,20,47,465,0,479,8.46,3.65,0.79,0.291,78.80%,42.30%,8.30%,3.12,3.65,3.83,183,166,2032,3.42,4.34
1977,Athletics,20,19,26,249,0,465.2,5.1,4.08,0.85,0.267,78.10%, , ,3.13,4.24, ,191,162,1986, , 
1982,Reds,15,22,31,293,0,456.1,5.64,4.08,0.53,0.264,76.00%, , ,3.14,3.67, ,177,159,1942, , 
1990,Expos,36,26,50,341,0,473.1,5.63,3.61,0.74,0.272,77.80%, , ,3.14,3.91, ,186,165,2025, , 
2009,Dodgers,37,23,44,526,0,553,8.15,3.76,0.73,0.274,77.50%,46.50%,8.40%,3.14,3.74,3.96,212,193,2341,3.66,4.17
1976,Reds,31,20,45,274,0,455,4.73,2.83,0.24,0.297,72.90%, , ,3.15,2.93, ,181,159,1944, , 
1993,Braves,25,16,46,353,0,372,7.67,3.7,0.46,0.267,72.30%, , ,3.15,3.22, ,146,130,1548, , 
2003,Angels,20,14,39,375,0,503.1,7.74,3.18,0.84,0.277,78.00%,44.50%,9.40%,3.15,3.69,3.93,191,176,2093,3.58,5.1
1981,Padres,16,24,23,239,0,360.1,4.97,4.07,0.4,0.273,74.10%, , ,3.15,3.51, ,145,126,1512, , 
1978,Padres,19,21,55,265,0,399.2,5.97,3.76,0.41,0.267,73.40%, , ,3.15,3.14, ,156,140,1680, , 
1989,Cardinals,29,16,43,357,0,445,5.26,2.85,0.55,0.264,72.80%, , ,3.16,3.35, ,175,156,1840, , 
1989,Astros,29,21,38,346,0,501.1,6.53,3.09,0.45,0.277,72.30%, , ,3.16,3.05, ,201,176,2111, , 
1991,Mariners,23,20,48,383,0,489.2,5.79,3.6,0.62,0.262,75.50%, , ,3.16,3.74, ,191,172,2052, , 
1998,Giants,30,23,44,433,0,512.1,7.57,3.44,0.79,0.283,77.70%, , ,3.16,3.83, ,200,180,2173, , 
2005,Cardinals,19,15,48,436,0,397.2,7.08,3.42,0.93,0.277,79.30%,46.10%,10.50%,3.17,4.14,4.16,157,140,1679,3.79,3.76
2012,Royals,25,21,44,500,0,561.1,8.58,3.64,0.71,0.308,77.80%,46.00%,8.50%,3.17,3.52,3.85,219,198,2379,3.58,3.9
1977,Expos,22,17,33,307,0,487.1,4.89,3.69,0.66,0.257,76.50%, , ,3.18,3.89, ,189,172,2056, , 
1975,Orioles,17,19,21,149,0,294.2,5.01,3.42,0.61,0.256,76.80%, , ,3.18,3.52, ,107,104,1216, , 
1990,White Sox,29,21,68,367,0,475.2,5.81,3.95,0.64,0.25,75.80%, , ,3.18,3.84, ,183,168,1971, , 
1975,Yankees,12,10,20,147,0,262.2,5.86,4.08,0.41,0.296,76.00%, , ,3.19,3.35, ,105,93,1132, , 
1984,Padres,26,19,44,285,0,479.2,5.82,3.49,0.73,0.258,74.00%, , ,3.19,3.75, ,201,170,2033, , 
1978,Royals,20,17,33,208,0,358.1,4.55,3.44,0.7,0.255,74.50%, , ,3.19,3.82, ,150,127,1526, , 
1975,Phillies,28,22,30,283,0,459.2,5.72,3.21,0.7,0.266,74.90%, , ,3.19,3.46, ,184,163,1908, , 
1989,Padres,21,13,52,245,0,411.2,6.25,3.39,0.83,0.265,77.00%, , ,3.19,3.78, ,162,146,1713, , 
1975,Royals,24,13,25,204,0,380.1,5.47,3.34,0.57,0.278,73.60%, , ,3.19,3.34, ,158,135,1605, , 
2013,Brewers,26,28,40,501,0,524,7.73,3.04,0.94,0.28,77.40%,44.20%,11.40%,3.19,3.8,3.7,210,186,2193,3.48,3.61
2011,Nationals,31,23,49,503,0,520.2,8.02,3.65,0.76,0.274,77.00%,43.10%,7.90%,3.2,3.66,3.91,202,185,2193,3.55,3.77
1982,Yankees,23,20,39,251,0,447.1,6.78,3,0.52,0.282,72.70%, , ,3.2,3.03, ,180,159,1863, , 
1988,Expos,27,19,43,307,0,423,6.19,3.72,0.64,0.276,76.00%, , ,3.21,3.61, ,168,151,1785, , 
1977,Yankees,23,11,34,154,0,333.1,4.51,2.7,0.73,0.29,74.90%, , ,3.21,3.73, ,142,119,1409, , 
1982,Red Sox,38,19,33,214,0,537.2,5.49,2.85,0.74,0.286,77.90%, , ,3.21,3.59, ,206,192,2257, , 
1991,Mets,20,19,39,314,0,419.2,6,2.85,0.58,0.279,71.60%, , ,3.22,3.35, ,179,150,1768, , 
1997,Yankees,24,24,51,368,0,450.1,7.79,3.82,0.82,0.285,77.30%, , ,3.22,3.92, ,184,161,1937, , 
2013,Athletics,24,18,46,447,0,475.1,8.16,2.92,0.78,0.284,76.70%,40.60%,7.60%,3.22,3.42,3.86,183,170,2005,3.42,3.29
1981,Red Sox,26,16,24,157,0,341,5.99,3.8,0.71,0.279,76.60%, , ,3.22,3.68, ,141,122,1463, , 
1987,Expos,29,14,50,335,0,508.2,6.48,3.2,0.81,0.267,73.10%, , ,3.22,3.72, ,222,182,2158, , 
2008,Phillies,33,23,47,468,0,483,7.66,3.93,0.69,0.3,78.00%,48.80%,8.50%,3.22,3.84,4.03,191,173,2072,3.82,4.77
2005,White Sox,24,19,54,412,0,401.2,7.84,3.92,0.96,0.27,79.90%,39.70%,9.40%,3.23,4.09,4.27,156,144,1707,3.83,3.27
1980,Pirates,24,25,43,271,0,396,5.16,3.18,0.64,0.275,73.70%, , ,3.23,3.62, ,166,142,1666, , 
1983,Rangers,15,20,32,190,0,351.1,5.97,3.23,0.51,0.269,74.20%, , ,3.23,3.31, ,136,126,1478, , 
1984,Indians,25,21,35,308,0,524,4.98,3.16,0.77,0.26,76.70%, , ,3.23,3.88, ,205,188,2199, , 
1987,Giants,36,24,38,348,0,526.2,7.55,4.24,0.82,0.257,77.00%, , ,3.23,3.84, ,207,189,2192, , 
2012,Nationals,26,19,51,482,0,515.1,8.21,3.42,0.82,0.275,77.10%,43.60%,8.90%,3.23,3.7,4.01,200,185,2157,3.66,3.35
2002,Mets,23,24,36,451,0,484.1,7.82,3.68,0.82,0.284,78.30%,42.40%,8.70%,3.23,3.75,4.01,190,174,2065,3.66,4.53
2012,Dodgers,30,20,40,506,0,462,8.81,4.11,0.66,0.276,76.50%,50.60%,9.70%,3.23,3.63,3.79,179,166,1943,3.58,3.25
1984,Yankees,25,24,43,287,0,464.2,7.21,3.31,0.58,0.289,74.30%, , ,3.23,3.13, ,186,167,1959, , 
2003,Astros,27,22,50,502,0,581.1,7.66,3.59,0.91,0.26,79.00%,45.50%,10.80%,3.24,4.01,4.07,221,209,2427,3.72,4.12
2012,Padres,22,21,43,529,0,505.1,9.33,3.65,0.89,0.277,78.10%,43.20%,10.10%,3.24,3.66,3.81,197,182,2142,3.41,3.51
2005,Twins,29,24,44,396,0,438.2,6.85,3.41,0.78,0.266,76.00%,47.90%,8.60%,3.24,3.9,4.16,176,158,1841,3.84,3.8
1984,Royals,25,10,50,214,0,444,4.78,2.11,0.81,0.26,75.30%, , ,3.24,3.61, ,170,160,1800, , 
1978,Athletics,26,19,29,271,0,521,4.56,3.37,0.64,0.288,74.80%, , ,3.25,3.67, ,226,188,2253, , 
1982,Cubs,23,22,43,354,0,512.2,5.95,3.34,0.53,0.286,74.70%, , ,3.25,3.32, ,205,185,2164, , 
1975,Indians,17,15,33,218,0,412.1,5.61,4.78,0.68,0.273,75.90%, , ,3.25,4.01, ,180,149,1783, , 
1985,Giants,23,28,24,321,0,455.1,7.35,4.57,0.65,0.274,75.20%, , ,3.26,3.6, ,192,165,1956, , 
1990,Tigers,24,15,45,300,0,505,5.45,3.97,0.7,0.268,77.50%, , ,3.26,4.01, ,199,183,2154, , 
1992,Reds,27,18,55,357,0,441.1,8.59,3.63,0.63,0.28,73.40%, , ,3.26,3.07, ,180,160,1845, , 
2001,Athletics,22,21,44,416,0,441,7.41,2.96,0.92,0.282,76.60%, , ,3.27,3.78, ,180,160,1847, , 
1985,Blue Jays,35,20,47,316,0,432.2,5.85,3.64,0.75,0.264,75.60%, , ,3.27,3.72, ,175,157,1802, , 
1992,Royals,25,31,44,340,0,551,5.9,3.25,0.6,0.271,74.10%, , ,3.27,3.53, ,224,200,2318, , 
1981,Angels,11,11,19,155,0,313.1,4.45,3.45,0.78,0.269,77.00%, , ,3.27,3.93, ,126,114,1308, , 
1983,Pirates,21,29,41,290,0,447.2,6.11,4.32,0.56,0.263,72.20%, , ,3.28,3.7, ,197,163,1906, , 
2012,Diamondbacks,17,20,39,461,0,466.2,8.27,2.91,0.77,0.296,74.30%,49.80%,10.50%,3.28,3.44,3.52,194,170,1940,3.29,3.59
1980,Phillies,21,21,40,277,0,425.1,5.44,3.36,0.42,0.278,73.00%, , ,3.28,3.33, ,172,155,1791, , 
2006,Mets,32,15,43,474,0,542.2,8.04,2.89,0.86,0.282,75.80%,50.10%,10.50%,3.28,3.67,3.71,219,198,2256,3.45,3.83
1975,Cardinals,18,19,36,272,0,383.1,5.82,4.58,0.52,0.277,73.10%, , ,3.29,3.61, ,174,140,1698, , 
1976,Pirates,19,18,35,237,0,361,4.81,3.39,0.45,0.285,74.30%, , ,3.29,3.39, ,146,132,1530, , 
2013,Reds,24,24,43,461,0,470.1,9.36,3.43,1.05,0.263,79.00%,41.40%,11.70%,3.29,3.8,3.64,182,172,1952,3.17,3.18
1988,Astros,23,23,40,284,0,421,5.81,2.99,0.64,0.279,71.00%, , ,3.29,3.45, ,190,154,1793, , 
1980,Orioles,15,17,41,189,0,376.2,5.66,3.89,0.76,0.271,77.20%, , ,3.3,3.94, ,150,138,1571, , 
1975,White Sox,23,16,39,209,0,464,6.85,4.73,0.45,0.29,76.20%, , ,3.3,3.37, ,186,170,2003, , 
1993,Blue Jays,25,17,50,344,0,442,7.62,3.83,0.63,0.299,77.30%, , ,3.3,3.53, ,173,162,1895, , 
1974,Tigers,21,17,15,154,0,420,5.89,4.09,0.69,0.272,76.10%, , ,3.3,3.71, ,174,154,1799, , 
1996,Padres,30,23,47,411,0,512.2,8.72,3.63,0.81,0.258,74.00%, , ,3.3,3.75, ,211,188,2140, , 
1992,Expos,22,20,49,349,0,469,6.95,3.42,0.5,0.285,74.80%, , ,3.3,3.21, ,184,172,1984, , 
1976,Dodgers,22,19,28,182,0,324.1,5.3,4.11,0.47,0.259,73.50%, , ,3.3,3.61, ,134,119,1381, , 
2013,Giants,27,30,41,524,0,501.1,7.92,3.39,0.7,0.295,76.80%,45.70%,8.40%,3.3,3.54,3.79,199,184,2142,3.54,3.32
