Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2003,Braves,2137,6378,235,907,872,68,8.50%,14.60%,0.192,0.302,0.284,0.349,0.475,0.354,112,9.4,105.2,46.7,35.5
1993,Giants,2213,6255,167,807,757,120,8.20%,14.80%,0.151,0.303,0.276,0.34,0.427,0.337,108,-1.3,57.1,75,35.4
2011,Rangers,1767,6261,210,855,807,143,7.60%,14.90%,0.177,0.304,0.283,0.34,0.46,0.347,112,28.3,115.1,17.2,35.3
2002,Giants,2221,6298,198,783,751,74,9.80%,15.30%,0.175,0.289,0.267,0.344,0.442,0.338,109,4.5,75.1,74.1,35.2
1998,Astros,2121,6437,166,873,818,155,9.60%,17.40%,0.156,0.321,0.28,0.356,0.436,0.347,113,8.7,111.8,44.5,35.1
1978,Brewers,1632,6227,173,804,762,95,8.40%,12.90%,0.155,0.294,0.276,0.339,0.432,0.347,117,-0.6,121,3.1,34.7
2000,Giants,2123,6418,226,925,889,79,11.00%,16.10%,0.194,0.303,0.278,0.362,0.472,0.359,112,-1.3,103.7,53.7,34.7
2007,Phillies,2288,6537,213,892,850,138,9.80%,18.40%,0.184,0.311,0.274,0.354,0.458,0.351,105,16,59,78.5,34.5
1999,Indians,1859,6554,209,1009,960,147,11.30%,16.80%,0.177,0.323,0.289,0.373,0.467,0.367,112,6.9,114.5,18.6,34.4
1985,Cardinals,2121,6182,87,747,687,314,9.50%,13.80%,0.114,0.298,0.264,0.335,0.379,0.319,102,22.6,37,93,34.3
1983,Tigers,1848,6244,156,789,749,93,8.10%,13.30%,0.153,0.295,0.274,0.335,0.427,0.339,110,-3.3,66.6,60.6,34.3
2003,Cardinals,2334,6466,196,876,827,82,9.00%,14.70%,0.175,0.302,0.279,0.35,0.454,0.346,109,8.7,83.5,53.4,34.3
1982,Angels,1779,6350,186,814,760,55,9.70%,12.00%,0.159,0.287,0.274,0.347,0.433,0.347,114,-9.8,95.4,31.3,34.1
1997,Mariners,1911,6385,264,925,890,89,9.80%,17.40%,0.204,0.305,0.28,0.355,0.485,0.363,116,1,133.6,-10.9,34
2010,Reds,2153,6285,188,790,761,93,8.30%,19.40%,0.164,0.314,0.272,0.338,0.436,0.34,106,4.3,48.8,80.5,33.9
2004,Cardinals,2278,6297,214,854,817,111,8.70%,17.20%,0.182,0.307,0.278,0.344,0.46,0.344,107,21.3,74.6,60.7,33.8
2007,Yankees,2027,6528,201,968,929,123,9.80%,15.20%,0.174,0.318,0.29,0.366,0.463,0.361,119,10,166.5,-47.2,33.7
2008,Red Sox,1944,6402,173,845,807,120,10.10%,16.70%,0.168,0.315,0.28,0.358,0.447,0.351,110,1.1,77.9,43.3,33.6
1978,Dodgers,2008,6188,149,725,680,137,9.80%,13.20%,0.139,0.284,0.264,0.338,0.403,0.333,108,8.2,64.6,44.1,33.3
1986,Mets,2086,6349,148,783,730,118,9.90%,15.20%,0.138,0.292,0.263,0.339,0.401,0.328,108,3.9,64,52.7,33.3
2008,Cardinals,2187,6370,174,779,744,73,9.10%,15.50%,0.152,0.312,0.281,0.35,0.433,0.342,107,-4.8,51.7,72.3,33.2
2009,Yankees,2086,6449,244,915,881,111,10.30%,15.70%,0.194,0.306,0.283,0.362,0.478,0.365,117,-1,136.4,-24.8,33.1
2009,Rays,1825,6223,199,803,765,194,10.30%,19.70%,0.177,0.303,0.263,0.343,0.439,0.342,109,16.4,85.3,31.6,32.9
2011,Yankees,1889,6306,222,867,836,147,9.90%,18.00%,0.181,0.292,0.263,0.343,0.444,0.345,113,6.8,101.8,6.3,32.9
1986,Tigers,1729,6269,198,798,751,138,9.80%,14.10%,0.161,0.279,0.263,0.338,0.424,0.338,110,3.8,76.1,35.5,32.8
1993,Yankees,1724,6359,178,821,793,39,9.90%,14.30%,0.156,0.304,0.279,0.353,0.435,0.35,114,-5.2,101.6,22.8,32.7
1985,Yankees,1708,6236,176,839,793,155,9.90%,12.40%,0.158,0.28,0.267,0.344,0.425,0.341,112,7.9,99.4,10,32.5
1980,Brewers,1598,6242,203,811,774,131,7.30%,11.90%,0.173,0.284,0.275,0.329,0.448,0.344,113,3.3,97.3,5.2,32.4
2003,Red Sox,1933,6530,238,961,932,88,9.50%,14.40%,0.202,0.307,0.289,0.36,0.491,0.364,120,0.6,164.3,-61.5,32.4
1976,Phillies,2170,6237,110,770,708,127,8.70%,12.70%,0.123,0.297,0.272,0.338,0.395,0.336,106,-2.2,36.8,59.7,32.4
1975,Phillies,2204,6365,125,735,687,126,9.60%,15.10%,0.133,0.304,0.269,0.342,0.402,0.338,103,4.6,27.4,72.1,32.1
1979,Orioles,1817,6106,181,757,717,99,10.00%,13.90%,0.158,0.277,0.261,0.336,0.419,0.336,108,1.9,59.3,54,32.1
1978,Phillies,2111,6154,133,708,661,152,9.00%,14.10%,0.131,0.283,0.258,0.328,0.388,0.322,98,8.9,-6.8,110.4,32
1997,Braves,2208,6315,174,791,755,108,9.50%,18.40%,0.156,0.31,0.27,0.343,0.426,0.338,101,-2.9,7.4,114.3,31.8
1990,Pirates,2217,6161,138,733,693,137,9.40%,14.80%,0.146,0.286,0.259,0.33,0.405,0.328,104,4.6,32.9,55.8,31.7
1988,Red Sox,1644,6334,124,813,760,65,9.80%,11.50%,0.137,0.304,0.283,0.357,0.42,0.348,115,-6,103.9,-15.4,31.7
1975,Athletics,2238,6185,151,758,703,183,9.80%,13.70%,0.136,0.275,0.254,0.333,0.391,0.332,111,5.9,81.3,20.4,31.6
1980,Orioles,1865,6282,156,805,751,111,9.30%,12.20%,0.14,0.29,0.273,0.342,0.413,0.339,111,6.2,85.2,7.4,31.5
1977,Reds,2096,6265,181,802,750,170,9.60%,14.50%,0.162,0.297,0.274,0.345,0.436,0.344,108,12.7,69.9,34.7,31.5
1988,Athletics,1870,6356,156,800,752,129,9.10%,14.60%,0.136,0.288,0.263,0.336,0.399,0.332,113,0,92.3,-6.3,31.4
1975,Dodgers,2028,6227,118,648,604,138,9.80%,13.20%,0.117,0.272,0.249,0.326,0.366,0.317,96,8.5,-20.5,120.6,31.4
1997,Indians,1917,6304,220,868,810,118,9.80%,15.10%,0.181,0.309,0.286,0.358,0.467,0.36,113,-1.4,106.5,-8.1,31.3
1998,Giants,2301,6481,161,845,800,102,10.50%,16.00%,0.147,0.308,0.274,0.353,0.421,0.341,108,-1.4,63,52.7,31.3
2005,Indians,1843,6255,207,790,760,62,8.00%,17.50%,0.181,0.302,0.271,0.334,0.453,0.34,110,5,77.9,20.2,31.3
2000,Angels,1839,6373,236,864,837,93,9.50%,16.10%,0.193,0.303,0.28,0.352,0.472,0.356,106,-4.5,49.9,52.7,31.3
2000,Cardinals,2196,6369,235,887,841,87,10.60%,19.70%,0.185,0.308,0.27,0.356,0.455,0.353,105,-5.2,36,82.1,31.2
2002,Mariners,1891,6362,152,814,771,137,9.90%,15.80%,0.144,0.307,0.275,0.35,0.419,0.335,110,1.5,76.2,17.2,31.2
2010,Yankees,1956,6379,201,859,823,103,10.40%,17.80%,0.169,0.3,0.267,0.35,0.436,0.346,112,4.8,94.2,-8.1,31.2
1998,Red Sox,2043,6302,205,876,827,72,8.60%,16.60%,0.183,0.31,0.28,0.348,0.463,0.352,107,-2.7,54.8,44.2,31.1
2001,Cardinals,2295,6172,199,814,768,91,8.60%,17.60%,0.172,0.302,0.27,0.339,0.441,0.335,101,2.7,11.8,103,31.1
2008,Phillies,2147,6273,214,799,762,136,9.30%,17.80%,0.182,0.283,0.255,0.332,0.438,0.334,98,17.8,-1.1,107.5,31.1
1997,Astros,2164,6363,133,777,720,171,9.90%,17.10%,0.144,0.298,0.259,0.344,0.403,0.33,100,2.8,4.7,107.8,31
1991,Pirates,2215,6265,126,768,725,124,9.90%,14.30%,0.135,0.291,0.263,0.338,0.398,0.33,109,6.4,70.3,23.1,31
1989,Giants,2315,6139,141,699,647,87,8.30%,17.40%,0.14,0.285,0.25,0.316,0.39,0.315,105,-5.8,25.1,76.2,31
2007,Tigers,1878,6364,177,887,857,103,7.40%,16.60%,0.171,0.323,0.287,0.345,0.458,0.347,108,10.6,77.7,19.4,31
2003,Mariners,1818,6281,139,795,759,108,9.30%,15.70%,0.139,0.306,0.271,0.344,0.41,0.331,104,0.3,34.3,62.6,31
2001,Giants,2231,6408,235,799,775,57,9.80%,17.00%,0.194,0.29,0.266,0.342,0.46,0.341,108,-7.2,60.2,46.3,30.9
1999,Reds,2274,6378,209,865,820,164,8.90%,17.60%,0.179,0.304,0.272,0.341,0.451,0.344,96,8.4,-25.3,137.4,30.8
2009,Phillies,2016,6338,224,820,788,119,9.30%,18.20%,0.189,0.286,0.258,0.334,0.447,0.339,103,11.8,34.2,68.9,30.7
1987,Mets,2132,6327,192,823,769,159,9.30%,16.00%,0.166,0.294,0.267,0.339,0.434,0.335,108,8.4,68.7,24.6,30.7
1986,Yankees,1758,6325,188,797,745,139,10.20%,14.40%,0.159,0.293,0.271,0.347,0.43,0.344,114,8.1,112.4,-26,30.6
1982,Orioles,1851,6320,179,774,735,49,10.00%,12.50%,0.153,0.28,0.266,0.341,0.419,0.339,110,-5.1,71.8,22.6,30.6
2010,Rays,1907,6270,160,802,769,172,10.70%,20.60%,0.156,0.293,0.247,0.333,0.403,0.326,106,34.2,75.2,8.7,30.6
1984,Phillies,2296,6284,147,720,673,186,8.80%,17.30%,0.141,0.304,0.266,0.333,0.407,0.33,107,13.1,62.4,19.9,30.5
1993,Braves,2086,6234,169,767,712,125,9.00%,15.20%,0.146,0.287,0.262,0.331,0.408,0.328,94,6.4,-36.7,121.1,30.5
1979,Brewers,1579,6227,185,807,766,100,8.80%,12.00%,0.168,0.294,0.28,0.345,0.448,0.35,114,0.5,107.2,-15.4,30.5
1992,Athletics,1801,6275,142,745,693,143,11.30%,13.20%,0.129,0.279,0.258,0.346,0.386,0.334,113,4.3,97.2,-11.9,30.5
2008,Rays,1958,6312,180,774,735,142,9.90%,19.40%,0.162,0.302,0.26,0.34,0.422,0.335,105,1.3,39.5,52,30.4
1987,Tigers,1913,6444,225,896,840,106,10.10%,14.20%,0.179,0.287,0.272,0.349,0.451,0.348,113,-2.8,101.5,-13.2,30.4
2013,Rays,1942,6242,165,700,670,73,9.40%,18.80%,0.151,0.295,0.257,0.329,0.408,0.324,108,1.7,59,15.1,30.3
2008,Cubs,2217,6384,184,855,811,87,10.00%,18.60%,0.165,0.321,0.278,0.354,0.443,0.349,104,-3.8,23.3,70.9,30.3
1996,Indians,1705,6486,218,952,904,160,10.30%,13.00%,0.182,0.309,0.293,0.369,0.475,0.367,111,7.8,110.5,-35,30.2
1995,Red Sox,1522,5716,175,791,754,99,9.80%,16.10%,0.175,0.31,0.28,0.357,0.455,0.356,107,-0.8,53.2,59.8,30.2
1980,Royals,1777,6357,115,806,766,185,8.00%,11.20%,0.128,0.306,0.286,0.345,0.413,0.339,107,19,70.4,6.7,30.1
2002,Cardinals,2258,6246,175,787,758,86,8.70%,14.80%,0.157,0.292,0.268,0.338,0.425,0.331,101,11.8,18.2,82.2,30.1
1982,Royals,1715,6178,132,784,746,133,7.20%,12.30%,0.143,0.307,0.285,0.337,0.428,0.339,109,7.8,74,20,30.1
1975,Pirates,2051,6112,138,712,669,50,7.70%,13.60%,0.139,0.286,0.263,0.323,0.402,0.329,102,0.2,16.2,72.6,30.1
2007,Red Sox,1816,6426,166,867,829,96,10.70%,16.20%,0.165,0.315,0.279,0.362,0.444,0.352,109,-3.8,71.9,11.8,29.9
1988,Mets,1963,6105,152,703,659,140,8.90%,13.80%,0.14,0.276,0.256,0.325,0.396,0.321,111,4,78.2,7.6,29.9
1999,Mets,2320,6451,181,853,814,150,11.10%,15.40%,0.156,0.308,0.279,0.363,0.435,0.35,105,2.5,46.9,57,29.8
2005,Braves,2105,6186,184,769,733,92,8.60%,17.50%,0.17,0.298,0.265,0.333,0.435,0.331,100,2.1,0.8,96.7,29.8
1989,Cardinals,2234,6141,73,632,587,155,8.30%,13.80%,0.105,0.292,0.258,0.321,0.363,0.309,96,7.6,-22.9,115.5,29.7
1977,Royals,1836,6268,146,822,773,170,8.30%,11.00%,0.159,0.291,0.277,0.34,0.436,0.341,109,2.4,69.1,10.7,29.7
2011,Cardinals,2262,6242,162,762,726,57,8.70%,15.70%,0.151,0.305,0.273,0.341,0.425,0.334,112,-5,83.8,2.7,29.7
1991,Tigers,1792,6359,209,817,778,109,11.00%,18.60%,0.169,0.277,0.247,0.333,0.416,0.336,106,3,50.3,31.9,29.6
1986,Angels,1732,6297,167,786,743,109,10.70%,13.70%,0.149,0.273,0.255,0.338,0.404,0.331,103,4.5,30.7,48,29.5
1975,Red Sox,1744,6175,134,796,756,66,9.10%,12.00%,0.142,0.295,0.275,0.344,0.417,0.346,106,-8.2,34.5,47.8,29.4
1993,Astros,1993,6136,138,716,656,103,8.10%,14.80%,0.142,0.296,0.267,0.33,0.409,0.327,101,-3.1,4,72.4,29.4
1977,Rangers,1775,6342,135,767,704,154,9.40%,14.30%,0.135,0.299,0.27,0.342,0.405,0.333,104,1.2,33.6,41,29.3
2012,Cardinals,2020,6326,159,765,732,91,8.40%,18.80%,0.15,0.316,0.271,0.338,0.421,0.329,108,-6.2,51.2,28.9,29.3
1977,Red Sox,1588,6182,213,859,828,66,8.50%,14.60%,0.183,0.301,0.282,0.346,0.465,0.355,111,-1.2,78.5,-0.5,29.3
1979,Phillies,2155,6222,119,683,641,128,9.70%,12.30%,0.13,0.288,0.266,0.34,0.396,0.328,99,-3.2,-13,90.8,29.2
1977,Dodgers,2176,6328,191,769,729,114,9.30%,14.20%,0.152,0.284,0.265,0.335,0.418,0.332,104,2.3,29.6,50.6,29.1
1975,Orioles,1783,6211,124,682,635,104,9.30%,13.40%,0.121,0.276,0.252,0.326,0.373,0.321,102,0.9,17.3,62.1,29.1
1992,Blue Jays,1645,6224,163,780,737,129,9.00%,15.00%,0.151,0.288,0.263,0.333,0.414,0.337,108,9.2,62.6,13.3,29.1
1988,Blue Jays,1745,6194,158,763,706,107,8.40%,15.10%,0.151,0.295,0.268,0.332,0.419,0.335,109,2.9,67.5,2.8,29
1989,Mets,2084,6131,147,683,633,158,8.20%,15.20%,0.139,0.27,0.246,0.311,0.385,0.312,101,8.8,16.4,65.9,29
1983,Expos,2116,6286,102,675,632,137,8.10%,11.60%,0.122,0.285,0.264,0.326,0.386,0.317,98,9.1,-3.5,79.6,29
1999,Orioles,1958,6409,203,851,804,107,9.60%,13.90%,0.169,0.298,0.279,0.353,0.447,0.35,107,0.7,56.7,21.7,28.9
2002,Angels,1921,6327,152,851,811,117,7.30%,12.70%,0.15,0.303,0.282,0.341,0.433,0.336,105,4.9,41.8,29.5,28.8
2011,Rays,1847,6152,172,707,674,155,9.30%,19.40%,0.159,0.281,0.244,0.322,0.402,0.319,103,6.1,30.8,43.7,28.8
2000,Mariners,1985,6444,198,907,869,122,12.00%,16.70%,0.172,0.299,0.269,0.361,0.442,0.352,107,-0.5,64.5,12,28.8
2004,Braves,2116,6339,178,803,767,86,9.30%,18.30%,0.164,0.309,0.27,0.343,0.434,0.336,100,11.8,10.7,71.5,28.8
2012,Yankees,1917,6231,245,804,774,93,9.10%,18.90%,0.188,0.293,0.265,0.337,0.453,0.342,113,0.3,95.7,-24.8,28.7
2011,Reds,2010,6329,183,735,697,97,8.50%,19.80%,0.152,0.297,0.256,0.326,0.408,0.322,99,7.9,2.8,71,28.6
1980,Yankees,1868,6329,189,820,772,86,10.20%,11.70%,0.157,0.277,0.267,0.343,0.425,0.343,113,2,98.5,-36.9,28.6
2008,Mets,2211,6388,172,799,751,138,9.70%,16.00%,0.154,0.296,0.266,0.34,0.42,0.332,100,11.1,11.7,66.1,28.6
1993,Blue Jays,1603,6319,159,847,796,170,9.30%,13.60%,0.157,0.303,0.279,0.35,0.436,0.347,109,15.1,88.1,-3.7,28.6
1991,White Sox,1874,6360,139,758,722,134,9.60%,14.10%,0.129,0.288,0.262,0.336,0.391,0.328,104,-2.6,28.4,44.2,28.6
1983,Blue Jays,1811,6213,167,795,749,131,8.20%,13.00%,0.159,0.296,0.277,0.338,0.436,0.343,108,-3.2,51.8,19.5,28.5
1985,Dodgers,2192,6208,129,682,630,136,8.70%,13.60%,0.122,0.286,0.261,0.328,0.383,0.316,102,2.1,19.3,52.2,28.5
1997,Red Sox,1873,6428,184,850,809,68,8.00%,16.20%,0.171,0.325,0.291,0.352,0.462,0.354,109,-6.6,64.6,-0.7,28.4
2002,Yankees,2008,6377,223,897,857,100,10.00%,18.40%,0.18,0.31,0.275,0.354,0.455,0.352,116,0.3,124.2,-59.5,28.3
1998,Cardinals,2305,6413,223,810,781,133,10.50%,18.40%,0.183,0.289,0.258,0.341,0.441,0.34,104,8.7,39.8,47.7,28.3
1976,Pirates,2029,6177,110,708,660,130,7.00%,13.10%,0.123,0.293,0.267,0.321,0.391,0.325,101,7.8,13.3,47.2,28.3
1995,Reds,2042,5575,161,747,694,190,9.30%,17.00%,0.169,0.303,0.27,0.342,0.44,0.342,104,7,37,63.3,28.3
2010,Twins,2009,6257,142,781,749,68,8.90%,15.50%,0.148,0.306,0.273,0.341,0.422,0.335,107,-4.5,48.1,13.7,28.2
2011,Diamondbacks,1854,6096,172,731,702,133,8.70%,20.50%,0.163,0.294,0.25,0.322,0.413,0.322,97,1.3,-22.5,99.4,28.2
1982,Expos,2039,6208,133,697,656,156,8.10%,13.00%,0.134,0.284,0.262,0.325,0.396,0.32,102,9.2,24.6,37,28.2
2003,Giants,2230,6204,180,755,713,53,9.60%,15.80%,0.161,0.291,0.264,0.338,0.425,0.33,100,-7.5,-10.9,94.7,28.2
1974,Pirates,2065,6366,114,751,692,55,8.10%,13.00%,0.118,0.3,0.274,0.335,0.391,0.33,105,0.5,39.3,20.6,28.1
1979,Red Sox,1733,6184,194,841,805,60,8.30%,11.40%,0.173,0.292,0.283,0.344,0.456,0.353,108,-3.4,53.9,16.9,28.1
1976,Twins,1763,6307,81,743,691,146,8.70%,11.30%,0.102,0.299,0.274,0.341,0.375,0.332,111,-0.4,70,-6.8,28.1
2001,Athletics,1830,6385,199,884,835,68,10.00%,16.00%,0.175,0.288,0.264,0.345,0.439,0.338,108,0.6,64.5,0.4,28
1983,Orioles,1892,6273,168,799,761,61,9.60%,12.80%,0.152,0.286,0.269,0.34,0.421,0.339,111,-1.8,77.5,-14.9,28
2009,Angels,1762,6305,173,883,841,148,8.70%,16.70%,0.156,0.322,0.285,0.35,0.441,0.346,108,2.9,69.8,-4.5,28
2004,Giants,2254,6466,183,850,805,43,10.90%,13.50%,0.168,0.29,0.27,0.357,0.438,0.34,105,-0.9,40.8,28.4,27.9
2005,Phillies,2165,6345,167,807,760,116,10.10%,17.10%,0.154,0.306,0.27,0.348,0.423,0.335,98,-2.4,-14.6,88.2,27.9
2006,Mets,2007,6291,200,834,800,146,8.70%,17.00%,0.181,0.293,0.264,0.334,0.445,0.334,99,16,9.3,66.4,27.9
1982,Tigers,1734,6166,177,729,684,93,7.60%,13.10%,0.152,0.282,0.266,0.324,0.418,0.331,103,-7.3,17.3,58.1,27.9
1978,Yankees,1772,6217,125,735,693,98,8.10%,11.10%,0.122,0.283,0.267,0.33,0.389,0.325,104,4.2,34.8,28.2,27.8
1995,Indians,1527,5686,207,840,803,132,9.50%,13.50%,0.188,0.306,0.291,0.361,0.479,0.366,115,1.8,116.2,-24.1,27.8
1977,Pirates,2133,6249,133,734,678,260,7.60%,14.00%,0.14,0.302,0.274,0.332,0.414,0.328,98,7.7,-11.2,81.7,27.8
2004,Dodgers,2278,6244,203,761,731,102,8.60%,17.50%,0.161,0.291,0.262,0.332,0.423,0.327,97,0.2,-21.5,96.9,27.8
1993,Orioles,1684,6310,157,785,744,73,10.40%,14.70%,0.146,0.293,0.267,0.346,0.413,0.338,104,-6.4,24.3,52.8,27.8
2005,Cardinals,2153,6246,170,805,757,83,8.50%,15.20%,0.153,0.297,0.27,0.339,0.423,0.331,100,17.7,21.1,54.7,27.8
1987,Blue Jays,1892,6295,215,845,790,126,8.80%,15.40%,0.177,0.29,0.269,0.336,0.446,0.339,105,1.4,39.9,26.5,27.8
1978,Royals,1836,6127,98,743,695,216,8.10%,10.50%,0.131,0.286,0.268,0.329,0.399,0.327,103,11.8,31.4,34.2,27.8
1982,Pirates,2159,6235,134,724,688,161,7.20%,13.80%,0.134,0.299,0.273,0.327,0.408,0.324,102,2.7,19.5,36.7,27.7
1978,Orioles,1895,6081,154,659,612,75,9.10%,14.20%,0.138,0.28,0.258,0.326,0.396,0.327,108,-7.7,47.6,17.7,27.7
1993,Phillies,2195,6527,156,877,811,91,10.20%,16.10%,0.153,0.309,0.274,0.351,0.426,0.344,106,6.4,53.1,-7.5,27.7
1998,Rangers,1875,6400,201,940,894,82,9.30%,16.30%,0.173,0.321,0.289,0.357,0.462,0.357,108,-4.1,61.1,-0.4,27.6
2012,Brewers,2174,6224,202,776,741,158,7.50%,19.90%,0.177,0.299,0.259,0.325,0.437,0.329,104,7.4,33.9,33.2,27.6
1980,Athletics,1714,6151,137,686,635,175,8.20%,13.40%,0.126,0.282,0.259,0.322,0.386,0.318,98,1.8,-13.9,77.5,27.6
2013,Athletics,1923,6209,186,767,725,74,9.20%,19.00%,0.165,0.289,0.254,0.327,0.419,0.327,108,4.1,61.9,-12.5,27.5
2004,Indians,1804,6452,184,858,820,94,9.40%,15.60%,0.168,0.305,0.276,0.351,0.444,0.345,109,2.3,79.7,-18.2,27.5
1997,Giants,2249,6296,172,784,746,121,10.20%,17.80%,0.156,0.292,0.258,0.337,0.414,0.329,99,3.5,-3.9,82.5,27.5
1985,Blue Jays,1878,6107,158,759,714,144,8.20%,13.20%,0.156,0.289,0.269,0.331,0.425,0.334,104,-3.7,23.1,44.6,27.5
1982,Cardinals,2187,6198,67,685,632,200,9.20%,13.00%,0.1,0.296,0.264,0.334,0.364,0.313,95,4.2,-32.7,90.6,27.5
2007,Mets,2012,6344,177,804,761,200,8.70%,15.50%,0.157,0.303,0.275,0.342,0.432,0.336,100,11.3,14.6,57.5,27.5
1992,Tigers,1671,6310,182,791,746,66,10.70%,16.70%,0.151,0.284,0.256,0.337,0.407,0.337,108,-5.7,49.8,8,27.4
1979,Royals,1762,6350,116,851,791,207,8.30%,10.60%,0.14,0.3,0.282,0.343,0.422,0.339,104,12.6,45.7,13.4,27.4
2013,Dodgers,2285,6145,138,649,618,78,7.70%,18.60%,0.133,0.308,0.264,0.326,0.396,0.317,104,-11.5,13.1,58.8,27.4
1989,Red Sox,1702,6455,108,774,716,56,10.00%,11.70%,0.125,0.301,0.277,0.351,0.403,0.34,109,-5.4,63.5,-19.8,27.4
1999,Astros,2043,6403,168,823,784,166,11.40%,17.80%,0.154,0.306,0.267,0.355,0.42,0.341,101,-0.7,7.5,71.8,27.4
1989,Athletics,1747,6110,127,710,659,157,9.20%,14.00%,0.12,0.286,0.261,0.331,0.381,0.323,107,7.4,57.5,-1.4,27.4
1991,Twins,1903,6218,140,776,733,107,8.50%,12.00%,0.139,0.3,0.28,0.344,0.42,0.342,107,-5.7,46.1,18.4,27.4
1999,Diamondbacks,2099,6414,216,908,865,137,9.20%,16.30%,0.182,0.303,0.277,0.346,0.459,0.348,98,9.9,-7.8,84.6,27.3
2000,Indians,1930,6512,221,950,889,113,10.50%,16.20%,0.182,0.318,0.288,0.367,0.47,0.364,109,7.8,89.1,-29.4,27.1
1985,Red Sox,1742,6420,162,800,760,66,8.80%,12.70%,0.147,0.303,0.282,0.347,0.429,0.344,110,0.3,76.1,-25.8,27.1
2012,Giants,2199,6200,103,718,675,118,7.80%,17.70%,0.128,0.315,0.269,0.327,0.397,0.314,100,4.6,7.1,55.9,27.1
1980,Cardinals,2088,6191,101,738,688,117,7.30%,12.60%,0.125,0.302,0.275,0.329,0.4,0.324,101,1.2,6.4,59.2,27.1
1996,Rangers,1706,6494,221,928,890,83,10.20%,16.00%,0.184,0.311,0.284,0.358,0.469,0.358,104,3.3,35.7,3.2,27
2007,Braves,2112,6374,176,810,781,64,8.40%,18.00%,0.16,0.314,0.275,0.339,0.435,0.337,99,-7.9,-14.3,80.5,27
1992,White Sox,1724,6267,110,738,686,160,9.90%,12.50%,0.122,0.283,0.261,0.336,0.383,0.326,104,8.5,37.2,17.8,26.9
1980,Dodgers,2194,6214,148,661,636,123,7.90%,13.60%,0.126,0.285,0.262,0.323,0.388,0.319,101,-4.7,5.5,57.9,26.9
1979,Expos,2014,6029,143,698,651,119,7.20%,14.80%,0.144,0.291,0.264,0.319,0.408,0.321,98,3.3,-10.7,70.4,26.8
2006,Padres,2268,6287,161,731,698,123,9.00%,17.60%,0.154,0.299,0.263,0.332,0.416,0.325,99,9,-1.2,65.1,26.7
2010,Giants,2204,6143,162,697,660,55,7.90%,17.90%,0.151,0.293,0.257,0.321,0.408,0.32,98,-16.9,-30.1,94.2,26.7
1993,White Sox,1693,6253,162,776,731,106,9.70%,13.30%,0.146,0.284,0.265,0.338,0.411,0.333,104,-1.1,26.8,41.3,26.7
